id;Latitude;Longitude;cheapness;condition;location;score
0;47.4332152;9.394987185249308;10.0;;7.741208226513967;9.35
1;47.4332152;9.394987185249308;10.0;;7.741208226513967;9.35
2;47.4174313;9.381075;1.0;6.9;7.573218011888635;4.08
3;47.4135527;9.364173;10.0;;7.093986046300102;9.17
4;47.43497325;9.39622240778245;10.0;;7.120381843420024;9.18
5;47.4193257;9.351620253033094;10.0;;9.904444475031656;9.97
6;47.4153063;9.3829234;7.0;;7.443816100365932;7.13
7;47.43298425;9.39381752954286;10.0;;7.503231483050798;9.29
8;47.4203953;9.3729493;;9.9;7.780636887805018;9.05
9;47.4174601;9.3603792;1.0;2.3;8.700470466727939;2.93
10;47.4689597;9.1077693;6.0;;5.5;5.86
11;47.4264073;9.383295787810138;1.0;;7.360519863236426;2.82
12;47.4379987;9.3918363;1.0;;8.283439372609063;3.08
13;47.4425556;9.408564334606943;1.0;;9.62262897098497;3.46
14;47.4326619;9.3972652;10.0;;7.31599245311404;9.23
15;47.4423077;9.409775834716104;1.0;7.2;9.572435996256125;4.57
16;47.4373988;9.3879169;10.0;;7.215882553278212;9.2
17;47.4281159;9.36425;6.0;;9.714004845014589;7.06
18;47.4480582;9.3975672;2.0;5.5;7.151822019343203;4.08
19;47.4400637;9.37386235;8.0;;9.701195837692012;8.49
20;47.4343348;9.3844026;1.0;;7.0541555764275525;2.73
21;47.4407209;9.4119244;1.0;8.8;7.101774317465814;4.56
22;47.4362243;9.42000445570036;1.0;8.6;7.470703326121592;4.57
23;47.41874195;9.370259450000002;10.0;;7.164633382342861;9.19
24;47.443641;9.39522035157345;10.0;;7.019736721479344;9.15
25;47.4119893;9.351609161712677;10.0;4.3;9.694453559434013;8.23
26;47.436118500000006;9.4105755;10.0;4.1;7.615234509396526;7.75
27;47.435941;9.4101311;10.0;4.1;7.839556927369452;7.8
28;47.4197942;9.3526212;10.0;2.7;9.898428948962176;7.79
29;47.4363491;9.4104568;10.0;4.1;7.0853862549209445;7.65
30;47.4175522;9.3589454;1.0;;7.063134505334665;2.73
31;47.4292214;9.3917496;10.0;2.7;9.879408687992072;7.79
32;47.40852995;9.332807199999998;1.0;8.9;9.764020260970103;5.12
33;47.4118882;9.342925790587357;1.0;;7.059924253631893;2.73
34;47.4239388;9.3749572;1.0;;9.766204646809449;3.5
35;47.407574;9.3407163;1.0;9.8;9.711884049991742;5.38
36;47.4173759;9.3575734;10.0;2.7;7.358184832349654;7.28
37;47.4173759;9.3575734;10.0;2.7;7.358184832349654;7.28
38;47.39986655;9.29819031294609;1.0;;9.172386169685625;3.33
39;47.4307531;9.3985367;1.0;;8.009822603487294;3.0
40;47.42804700000001;9.376841492485784;2.0;;6.99936110350813;3.43
41;47.4151379;9.3968099;1.0;5.8;7.300248792292278;3.7
42;47.4199967;9.352511452236849;1.0;8.6;9.89683752684028;5.06
43;47.41128665;9.362471729065351;1.0;9.5;7.552473317149796;4.86
44;47.4130237;9.3327675;1.0;;9.807528767274128;3.52
45;47.4265704;9.3747629;10.0;;7.279057945641838;9.22
46;47.4159382;9.35518729362416;1.0;;7.573748331651661;2.88
47;47.420972;9.3536989;10.0;;8.360530958130035;9.53
48;47.4149142;9.3649828;1.0;;7.014804888867664;2.72
49;47.42721965;9.384756771709387;10.0;3.9;7.164060504490552;7.6
50;47.4294577;9.3778759;9.0;5.0;7.629104408656197;7.53
51;47.40767515;9.36900451277361;10.0;;6.731338445368821;9.07
52;47.4083948;9.34460516013514;1.0;8.3;8.35074510586659;4.66
53;47.43670899999999;9.387012073630412;10.0;2.7;7.522681785076303;7.31
54;47.422085;9.3737548;1.0;;7.722952040070913;2.92
55;47.44044305;9.394414730518168;1.0;9.9;6.947599071595489;4.86
56;47.40467695;9.336652763751472;1.0;8.0;9.70604443098607;4.84
57;47.43602035;9.38802205;10.0;2.7;7.653281374950303;7.34
58;47.420559;9.3643155;10.0;2.7;9.952352309640478;7.8
59;47.4319658;9.3965621;10.0;;6.946082400066537;9.13
60;47.4164172;9.3568565;10.0;;7.998434563472014;9.43
61;47.414316;9.3451157;1.0;10.0;9.877889115234268;5.48
62;47.424066;9.36645615753084;1.0;;8.430292742069351;3.12
63;47.4257163;9.3848239;1.0;;7.3787978085395896;2.82
64;47.4265813;9.3764407;1.0;7.2;7.264986576012344;4.11
65;47.4300383;9.3918085;10.0;;7.271695296902468;9.22
66;47.4248898;9.3835976;10.0;;7.373904533148529;9.25
67;47.4362241;9.401221661818184;1.0;7.0;9.730258492539779;4.55
68;47.4276439;9.3636994;1.0;;9.728649727467928;3.49
69;47.4200722;9.3640779;1.0;2.6;9.237593247170736;3.13
70;47.430229350000005;9.377382350000005;1.0;;7.976065089495129;2.99
71;47.4193462;9.3634905;10.0;;8.764854169729933;9.65
72;47.4365087;9.4073864;10.0;;7.156704700604665;9.19
73;47.4257575;9.3775254;1.0;2.4;7.646917652573295;2.75
74;47.4275693;9.37507615958993;10.0;;6.834253781173052;9.1
75;47.42495605;9.376839889050096;8.0;;9.74877911138028;8.5
76;47.4366752;9.4096441;10.0;;7.388262263522278;9.25
77;47.4343348;9.3844026;1.0;;7.0541555764275525;2.73
78;47.4192433;9.3800353;1.0;;6.98749277716528;2.71
79;47.416401;9.3781262;1.0;;7.5968880349840475;2.88
80;47.4074701;9.3323992;10.0;;8.438074049690423;9.55
81;47.403215200000005;9.32463844863749;1.0;;9.592688432527666;3.46
82;47.40348315;9.3249269406639;1.0;;9.592688432527666;3.46
83;47.403215200000005;9.32463844863749;1.0;;9.592688432527666;3.46
84;47.42698685;9.383898694107646;1.0;;7.157342507894629;2.76
85;47.4188513;9.3536615;2.0;;6.788871424175698;3.37
86;47.42646595;9.38447680871627;1.0;3.7;9.86212024445301;3.58
87;47.41970465;9.363515305950202;1.0;;9.13115094343583;3.32
88;47.44319115;9.395131267245992;1.0;;6.586786154305514;2.6
89;47.42904505;9.39086515255581;1.0;8.4;9.879398777734956;5.0
90;47.4426221;9.3934258;1.0;;9.716374222320102;3.49
91;47.4258516;9.362108474339816;10.0;;7.982525276854209;9.42
92;47.4334796;9.398298409129149;1.0;;7.067728133105203;2.73
93;47.4178168;9.360211722537112;1.0;;7.8617291846303115;2.96
94;47.414792;9.363267860822734;10.0;;7.506664299375929;9.29
95;47.414792;9.363267860822734;10.0;;7.506664299375929;9.29
96;47.4301158;9.397982149999994;10.0;;7.579206842781655;9.31
97;47.4185438;9.3660627;1.0;9.7;7.242675909544534;4.86
98;47.4185438;9.3660627;1.0;;7.242675909544534;2.78
99;47.4185438;9.3660627;1.0;;7.242675909544534;2.78
