id;Latitude;Longitude;cheapness;condition;location;score
0;47.43940585;9.382397877725758;1.0;;6.501043462229187;2.57
1;47.44330215;9.409444595042036;1.0;7.2;7.113994127554013;4.08
2;47.4360592;9.4083591;10.0;3.9;5.9883515287132525;7.37
3;47.42456415;9.376516754573792;1.0;3.3;7.142265881068244;2.92
4;47.4243505;9.3764098;1.0;;6.977677756450331;2.71
5;47.4284422;9.3650603;1.0;;7.993247504677635;3.0
6;47.4329104;9.3970976;10.0;;8.700374444348412;9.63
7;47.4329104;9.3970976;10.0;;8.700374444348412;9.63
8;47.4044256;9.3408787;1.0;5.2;7.6946409842537165;3.6
9;47.4335966;9.4100812;10.0;;5.289457434287344;8.65
10;47.43286265;9.398284247469434;1.0;;5.815937386791775;2.38
11;47.418344;9.3818168;5.0;;6.316480107075085;5.38
12;47.4311029;9.4007211;10.0;;6.6077787560933245;9.03
13;47.437343850000005;9.379233986718026;1.0;;7.053794007861313;2.73
14;47.4475266;9.405852;1.0;7.7;7.11315846026989;4.23
15;47.43664765;9.409934047751207;1.0;;5.620817025920712;2.32
16;47.4358835;9.3840768;1.0;2.7;6.803214504284465;2.67
17;47.417316;9.359091599210808;10.0;;6.497399893557615;9.0
18;47.4074701;9.3323992;7.0;;6.722196792890517;6.92
19;47.44301845;9.409875988925334;1.0;7.2;7.180873789129202;4.1
20;47.4175522;9.3589454;1.0;;6.308446768564506;2.52
21;47.4175522;9.3589454;1.0;;6.308446768564506;2.52
22;47.4175522;9.3589454;1.0;;6.308446768564506;2.52
23;47.4175522;9.3589454;1.0;;6.308446768564506;2.52
24;47.4175522;9.3589454;1.0;;6.308446768564506;2.52
25;47.4361963;9.419055693514824;10.0;8.6;4.142362215408657;8.41
26;47.4315623;9.3992568;1.0;;8.7362082779531;3.21
27;47.42531985;9.383418700000004;10.0;;7.073303243526081;9.16
28;47.4090351;9.3416317;1.0;9.8;4.229669120274032;4.29
29;47.44053195;9.39302495;1.0;9.5;6.075981820019877;4.57
30;47.4269555;9.3645723;1.0;5.0;8.399818033594876;3.68
31;47.41793585;9.350596612944916;10.0;;6.743479427357355;9.07
32;47.4366521;9.405104;10.0;;5.2353929355119835;8.64
33;47.4376945;9.4046617;1.0;9.9;5.934389353805626;4.66
34;47.4061226;9.3250183;10.0;;5.54405177248087;8.73
35;47.42392915;9.382682007554054;1.0;2.7;6.537521774261244;2.62
36;47.4173824;9.366950090310072;10.0;;6.284887672399778;8.94
37;47.4334248;9.393085718872117;1.0;9.7;6.933072882382903;4.8
38;47.416382;9.380926661408498;1.0;;8.239291078507176;3.07
39;47.402303;9.3367384;2.0;7.0;7.6034639022099935;4.62
40;47.4250593;9.3765878;10.0;;8.325748479914786;9.52
41;47.42657255;9.384370565866874;1.0;;9.042493477006595;3.3
42;47.4065016;9.3103955;1.0;;3.2523039870185224;1.64
43;47.42700405;9.38890850566048;1.0;9.8;6.634158977938727;4.77
44;47.418079950000006;9.355526250000008;2.0;;7.634425477676947;3.61
45;47.422085;9.3737548;1.0;;7.4856738662957;2.85
46;47.4199202;9.3523401;2.0;;9.249013667335511;4.07
47;47.4255978;9.378218320423022;4.0;;6.827002732168653;4.81
48;47.4258864;9.3769489;1.0;9.8;7.647013424594423;4.97
49;47.4211217;9.3703767;1.0;8.4;7.468358398062726;4.51
50;47.4264005;9.3717483;6.0;;5.841368907980372;5.95
51;47.436168;9.4107813;1.0;;5.675819063403215;2.34
52;47.4064351;9.3364338;1.0;;5.6368414307659265;2.32
53;47.42490715;9.389507766437594;10.0;;5.995346305670461;8.86
54;47.4268122;9.38412115;10.0;;6.571595118253189;9.02
55;47.4268122;9.38412115;1.0;;6.571595118253189;2.59
56;47.4268122;9.38412115;1.0;;6.571595118253189;2.59
57;47.4267154;9.3641619;1.0;5.0;8.4615733203146;3.69
58;47.4273866;9.384420231121856;1.0;;6.130364401361982;2.47
59;47.425217;9.37797348328104;6.0;;9.319919248027919;6.95
60;47.41911185;9.372630503680885;10.0;4.3;6.509000201286785;7.59
61;47.4176213;9.3515874;10.0;;6.598416464518953;9.03
62;47.4305558;9.383515934848576;2.0;;6.681543764173773;3.34
63;47.4270046;9.3774393;1.0;;7.005256106358386;2.72
64;47.4215582;9.3687059;10.0;3.7;6.9306133641239605;7.5
65;47.4313665;9.4001637;1.0;9.4;6.806756729953145;4.68
66;47.42494295;9.368572832813053;1.0;3.1;6.58052456602322;2.75
67;47.4376945;9.4046617;1.0;9.9;5.934389353805626;4.66
68;47.4193462;9.3634905;10.0;;8.303134386787354;9.52
69;47.424934;9.3827873;10.0;;6.633138044580852;9.04
70;47.4026982;9.338653;10.0;4.9;6.3980070635016455;7.75
71;47.4372848;9.388560888871234;10.0;;6.219058058106209;8.92
72;47.438577;9.394766998722856;7.0;;6.187200740091189;6.77
73;47.4134837;9.3644126;1.0;;5.954473497549016;2.42
74;47.418157050000005;9.362108100000004;2.0;;7.893088487859;3.68
75;47.4256852;9.378017150000003;1.0;;6.778037255149972;2.65
76;47.4256852;9.378017150000003;1.0;;6.778037255149972;2.65
77;47.4301751;9.3804861;2.0;;6.782779983393457;3.37
78;47.403215200000005;9.32463844863749;1.0;;7.313645027692064;2.8
79;47.4394083;9.3896584;10.0;;8.572012796045794;9.59
80;47.4196911;9.35360535;1.0;;7.012627934373623;2.72
81;47.4241912;9.3733439;1.0;8.4;7.150805875648274;4.45
82;47.4298776;9.392419;10.0;3.7;6.510462273126771;7.41
83;47.450600300000005;9.397851804620856;10.0;7.3;4.3169251917574565;8.05
84;47.4076929;9.32975935;10.0;3.9;5.608753567494377;7.29
85;47.42904505;9.39086515255581;1.0;8.4;9.138279868535696;4.85
86;47.4069174;9.32155188448548;1.0;;4.580476742535129;2.02
87;47.42487675;9.367581510708009;10.0;2.0;6.481352002301307;6.9
88;47.420257;9.3668062;1.0;2.7;6.8662411334313065;2.68
89;47.4250593;9.3765878;10.0;;8.325748479914786;9.52
90;47.4393143;9.38039938280507;1.0;9.4;6.681278492763426;4.66
91;47.436454;9.4079607;10.0;;5.642141340154528;8.75
92;47.43496235;9.385193601421635;10.0;;6.206544787878311;8.92
93;47.4115419;9.3430864;10.0;;6.386378262958006;8.97
94;47.4419523;9.4030279;4.0;;4.573241329101668;4.16
95;47.4259339;9.384537502304031;10.0;1.5;7.12243459520596;6.87
96;47.43190795;9.404712488706398;6.0;;6.360834812973513;6.1
97;47.42548435;9.375195800177874;1.0;;7.356176658689472;2.82
98;47.4139193;9.3646682;10.0;2.7;8.433885928787832;7.5
99;47.41117805;9.340559508528608;1.0;;6.100281991427819;2.46
