id;Latitude;Longitude;cheapness;condition;location;score
0;47.44936335;9.397538390190167;10.0;7.3;4.880664228182845;8.17
1;47.42489105;9.38561115;1.0;7.9;6.275632213782175;4.13
2;47.4067184;9.333691674080267;1.0;;6.288671871574989;2.51
3;47.43376685;9.399760959265905;10.0;;6.201366191976773;8.91
4;47.4179107;9.366534001227787;10.0;;6.732641591624693;9.07
5;47.4300587;9.3931429;10.0;;7.08417261340082;9.17
6;47.4124725;9.3556738;1.0;;8.382818429430841;3.11
7;47.440055;9.3915095;1.0;;5.941726635782764;2.41
8;47.4298708;9.3922226;10.0;3.7;6.818149363979776;7.47
9;47.415744;9.3644813;10.0;2.7;6.590903729833158;7.13
10;47.4080989;9.3283532;10.0;;5.482518093654249;8.71
11;47.40156455;9.300895450692156;10.0;;3.574067171777388;8.16
12;47.40767515;9.36900451277361;10.0;;5.066854241751631;8.59
13;47.4284449;9.3759596;1.0;;6.721954473941556;2.63
14;47.40156455;9.300895450692156;10.0;;3.574067171777388;8.16
15;47.4122835;9.349687311293389;10.0;;6.2265281908588435;8.92
16;47.4364436;9.4081548;10.0;;5.866037209309827;8.82
17;47.4246274;9.3815309;10.0;;6.498281775024157;9.0
18;47.4316183;9.3952814;10.0;;6.502594277737751;9.0
19;47.4318751;9.3962573;10.0;;6.362800264805241;8.96
20;47.4335441;9.3719144;1.0;;8.710948511800133;3.2
21;47.440055;9.3915095;1.0;;5.941726635782764;2.41
22;47.4335441;9.3719144;1.0;;8.710948511800133;3.2
23;47.4347198;9.3856412;1.0;;6.422982681259671;2.55
24;47.4299875;9.3928374;10.0;;6.988667620282321;9.14
25;47.4300587;9.3931429;10.0;;7.08417261340082;9.17
26;47.4249551;9.3786402;1.0;;7.262454799337197;2.79
27;47.4375729;9.420471747319567;1.0;6.0;4.550772364466348;3.21
28;47.4356427;9.4111555;10.0;4.3;7.993793554364719;7.89
29;47.4350461;9.3891503;10.0;;6.436505195668533;8.98
30;47.4402852;9.3928107;10.0;;6.41675804426503;8.98
31;47.4317845;9.393302144927716;10.0;;8.869321299378042;9.68
32;47.4249551;9.3786402;1.0;;7.262454799337197;2.79
33;47.42689725;9.384001755476666;1.0;2.1;6.653654053369393;2.46
34;47.4250593;9.3765878;10.0;;8.587744487631465;9.6
