id;Latitude;Longitude;cheapness;condition;location;score
0;47.4286726;9.376083;1.0;;7.04399273002366;2.73
1;47.4208361;9.3640951;10.0;;7.8469430367379776;9.38
2;47.43433685;9.401496149999993;10.0;;6.319559253949591;8.95
3;47.43322555;9.401850574874498;8.0;;6.355165193410898;7.53
4;47.41429155;9.33399725;1.0;9.2;8.812739941167672;5.02
5;47.45024125;9.397184444225868;1.0;;5.430395855549831;2.27
6;47.4378765;9.3917628;10.0;;7.661274661594753;9.33
7;47.40666105;9.337233777483302;1.0;;6.053315494568549;2.44
8;47.42006645;9.378586793290353;1.0;;7.120562256618532;2.75
9;47.42316095;9.38240318079152;6.0;;6.740229358335975;6.21
10;47.4076929;9.32975935;10.0;3.9;6.01434124652067;7.37
11;47.4382354;9.3914617;1.0;;7.7256743190020085;2.92
12;47.4382354;9.3914617;1.0;;7.7256743190020085;2.92
13;47.4385371;9.3916545;1.0;;7.677817042896154;2.91
14;47.41544845;9.36534342532834;10.0;;5.949434965451303;8.84
15;47.41305885;9.36215019349903;1.0;;8.868124283292616;3.25
16;47.4254017;9.3673425;1.0;;7.001528228363072;2.71
17;47.40809285;9.343135871010253;1.0;8.6;6.638236612031198;4.41
18;47.4250593;9.3765878;1.0;;8.710800780276212;3.2
19;47.4331331;9.3974374;1.0;;9.070109562746174;3.31
20;47.4192806;9.37303517214261;1.0;4.3;6.8287571692708955;3.16
21;47.405364250000005;9.315715449999995;10.0;5.0;5.277042786821003;7.56
22;47.42494295;9.368572832813053;1.0;3.1;6.890383031736803;2.81
23;47.4019493;9.3352552;1.0;6.4;7.9082349678416515;4.0
24;47.4100732;9.339883820124085;1.0;;9.085482936132024;3.31
25;47.41077845;9.338750116207034;1.0;9.4;6.066450946904041;4.53
26;47.4355197;9.4186716;1.0;8.7;5.149950365252258;4.14
27;47.42461015;9.383825768015402;10.0;;6.272531151524317;8.94
28;47.42870485;9.3908608;10.0;;9.34724628558608;9.81
29;47.4396747;9.402383974509805;1.0;;6.120725178180763;2.46
30;47.43286265;9.398284247469434;1.0;;6.148137069646376;2.47
31;47.43410595;9.388582850000002;1.0;;6.47621671477138;2.56
32;47.4250593;9.3765878;1.0;;8.710800780276212;3.2
33;47.4403706;9.38442278114514;1.0;;9.065472777583885;3.3
34;47.42226015;9.355177655414122;2.0;;6.507268749548986;3.29
35;47.4207315;9.371509973476805;1.0;;6.919672936419413;2.69
36;47.4197214;9.37819375216638;1.0;;6.578807202671822;2.59
37;47.41493185;9.363652390086912;4.0;;6.569206229530314;4.73
38;47.4385371;9.3916545;6.0;;7.677817042896154;6.48
39;47.42175325;9.361883290810717;10.0;;5.647362828438949;8.76
40;47.425271;9.3829804;1.0;;7.580132475059928;2.88
41;47.4346004;9.4021006;1.0;;6.453111314884863;2.56
42;47.43441635;9.400965299561886;1.0;2.7;6.212366434710836;2.55
43;47.4103924;9.36730755;1.0;;5.793716223308277;2.37
44;47.4250593;9.3765878;10.0;;8.710800780276212;9.63
45;47.4281943;9.3902431;6.0;;9.328231727077828;6.95
46;47.4396747;9.402383974509805;1.0;4.9;6.120725178180763;3.19
47;47.41534345;9.364139338827552;1.0;;6.398739789550946;2.54
48;47.4281503;9.3901027;4.0;;9.328797302687342;5.52
49;47.4334796;9.398298409129149;1.0;;6.299659486072513;2.51
50;47.4274307;9.3757633;1.0;;7.413555878183669;2.83
51;47.43857985;9.378692349999996;10.0;;6.923733326938429;9.12
52;47.42006645;9.378586793290353;1.0;;7.120562256618532;2.75
53;47.40005315;9.298915723949738;1.0;;5.5;2.29
54;47.4175413;9.348914755134818;10.0;3.9;7.252568569996173;7.62
55;47.4376945;9.4046617;1.0;;6.323298762306774;2.52
56;47.4317845;9.393302144927716;10.0;;8.977855299895298;9.71
57;47.40458580000001;9.326890314460524;10.0;;8.042075397616792;9.44
58;47.4250593;9.3765878;1.0;;8.710800780276212;3.2
59;47.43598705;9.378662440149292;3.0;2.7;7.495533776619405;3.81
60;47.4152642;9.3615719475475;1.0;8.0;7.017241140673695;4.3
61;47.4253242;9.382722;7.0;;7.396320993548534;7.11
62;47.4212044;9.3565867;10.0;;7.036896077557138;9.15
63;47.4376923;9.378384741308404;1.0;;7.127079241585749;2.75
64;47.42638945;9.385975599999998;4.0;2.7;6.832187516898941;4.18
65;47.425103;9.3701784;1.0;;6.878176466967373;2.68
66;47.4180741;9.359882949999994;1.0;8.9;6.891805935774541;4.55
67;47.4250593;9.3765878;1.0;;8.710800780276212;3.2
68;47.4180741;9.359882949999994;1.0;8.9;6.891805935774541;4.55
69;47.4139487;9.3376417;10.0;;9.257791855711222;9.79
70;47.4207468;9.3734814;1.0;;6.969138342862172;2.71
71;47.4065016;9.3103955;1.0;;3.9500466703709667;1.84
72;47.4268555;9.375442;10.0;;7.775072590684433;9.36
73;47.4333985;9.373839;1.0;;7.028060255911096;2.72
74;47.4197822;9.354239699999995;1.0;;6.936727834240669;2.7
75;47.438111;9.3883824;4.0;;6.639025251430685;4.75
76;47.4200324;9.3733019;1.0;;7.224395982899763;2.78
77;47.4079041;9.33256945;10.0;2.5;8.586018908610459;7.47
78;47.4249409;9.376682375919245;1.0;;8.707926160442739;3.2
79;47.4249409;9.376682375919245;1.0;;8.707926160442739;3.2
80;47.4249409;9.376682375919245;1.0;;8.707926160442739;3.2
81;47.4249409;9.376682375919245;1.0;;8.707926160442739;3.2
82;47.4250593;9.3765878;1.0;;8.710800780276212;3.2
83;47.4250593;9.3765878;1.0;;8.710800780276212;3.2
84;47.4250593;9.3765878;1.0;;8.710800780276212;3.2
85;47.4250593;9.3765878;1.0;;8.710800780276212;3.2
86;47.42300815;9.364755919424915;1.0;10.0;9.225035212145386;5.35
87;47.4227514;9.35917285;1.0;8.9;6.97828093019297;4.57
88;47.434759150000005;9.377783176189563;1.0;;7.631095062251093;2.89
89;47.42430125;9.383151220636792;1.0;;6.4879487955839465;2.57
90;47.4037987;9.316365;1.0;9.5;6.92373610210899;4.73
91;47.43190795;9.404712488706398;1.0;;6.771239806041017;2.65
92;47.4210577;9.3716531;1.0;;5.546892301070683;2.3
93;47.4380545;9.4034954;1.0;;6.01255958519306;2.43
94;47.4380545;9.4034954;1.0;;6.01255958519306;2.43
95;47.4380545;9.4034954;1.0;;6.01255958519306;2.43
96;47.4380545;9.4034954;1.0;;6.01255958519306;2.43
97;47.4380545;9.4034954;6.0;;6.01255958519306;6.0
98;47.4273448;9.384273499687204;1.0;;6.3730137522189345;2.54
99;47.4321442;9.393132565231024;10.0;6.2;8.989554768908611;8.66
