id;Latitude;Longitude;cheapness;condition;location;score
0;47.42683165;9.377498787580445;1.0;;7.401984785475156;2.83
1;47.4361738;9.4060493;1.0;;7.968912638505381;2.99
2;47.4174655;9.3521377;10.0;;7.652432246152905;9.33
3;47.4022619;9.3375108;1.0;7.0;9.905832899387105;4.58
4;47.4247879;9.36730015;1.0;;7.9791206680872895;2.99
5;47.4289654;9.3928703;10.0;;7.737970811369335;9.35
6;47.4398936;9.39524;10.0;;7.057599037913209;9.16
7;47.402640700000006;9.32537744768145;1.0;;9.897364979190144;3.54
8;47.440449150000006;9.39511926675666;1.0;;7.676509237350393;2.91
9;47.418418200000005;9.35725255863732;1.0;;7.680317842454558;2.91
10;47.424736;9.3755166;1.0;;9.944409933277445;3.56
11;47.44115;9.39136214829974;1.0;5.5;7.499551810171798;3.65
12;47.44058215;9.394224427409783;10.0;;7.022808149165964;9.15
13;47.4354742;9.37208735;10.0;;9.939514984712487;9.98
14;47.41248335;9.352420169589006;1.0;;8.056901526949183;3.02
15;47.4175746;9.3813462;10.0;2.7;7.455299337882781;7.3
16;47.41955925;9.3514868;10.0;2.7;9.983787556578948;7.81
17;47.4105875;9.368821507247258;1.0;8.5;9.927357175681664;5.04
18;47.4365415;9.378895;5.0;;8.147413326671348;5.9
19;47.4365415;9.378895;4.0;;8.147413326671348;5.18
20;47.0430286;9.4435159;10.0;;5.5;8.71
21;47.4348772;9.37808855;1.0;2.3;7.8590897877412385;2.76
22;47.4365145;9.3861497;10.0;;9.975600418233547;9.99
23;47.43463555;9.396201842472788;10.0;;7.348414084933405;9.24
24;47.42721965;9.384756771709387;10.0;3.9;7.266186146687367;7.62
25;47.4074892;9.3325655;1.0;3.0;8.670127978860826;3.13
26;47.4295971;9.4020252;1.0;;9.937626027063198;3.55
27;47.4183465;9.36236305;10.0;;8.532944975202831;9.58
28;47.4226785;9.3662472038361;10.0;;6.989749549200121;9.14
29;47.4364863;9.3932656;1.0;;9.970029020143565;3.56
30;47.4340684;9.3987691;2.0;4.1;8.137566958985452;3.86
31;47.4259339;9.384537502304031;1.0;1.3;8.151794014906576;2.52
32;47.4074524;9.325017463720709;10.0;;6.923600905459022;9.12
33;47.42698685;9.383898694107646;1.0;;7.2704364161172865;2.79
34;47.42345335;9.381203451519037;1.0;2.7;8.038123813589037;2.92
35;47.42707605;9.37110486056338;1.0;;7.53650162218472;2.87
36;47.2302886;8.826837712757541;1.0;;6.653842322582535;2.62
37;47.4286099;9.38985;10.0;2.7;9.973932880999355;7.8
38;47.4173398;9.34916859285099;1.0;;7.414538274340542;2.83
39;47.417445400000005;9.348389557816002;10.0;;7.682964421910288;9.34
40;47.42086045;9.371059682258064;1.0;2.7;7.423289737936058;2.79
41;47.41542715;9.36440965698242;1.0;;7.269800622409764;2.79
42;47.4375729;9.420471747319567;1.0;6.0;7.277276450515737;3.76
43;47.4073661;9.3278732;1.0;8.9;7.377533430061039;4.65
44;47.439425;9.395117205100616;1.0;2.7;6.989708894735606;2.71
45;47.436641300000005;9.392538073956114;1.0;;9.968589448882103;3.56
46;47.437589;9.3781632;10.0;;7.777970315356802;9.37
47;47.414821200000006;9.36568063747557;10.0;;9.950005933635769;9.99
48;47.4250593;9.3765878;1.0;;9.942090774495458;3.55
49;47.4250593;9.3765878;1.0;;9.942090774495458;3.55
50;47.4175882;9.365717150000004;10.0;;7.172343456476612;9.19
51;47.4393859;9.3945294;10.0;;7.005352926868112;9.14
52;47.4393859;9.3945294;1.0;;7.005352926868112;2.72
53;47.44936335;9.397538390190167;8.0;7.3;7.369388261864006;7.66
54;47.42680825;9.3908597;1.0;;8.734543748404068;3.21
55;47.4194461;9.351888248804356;4.0;;9.983667028034949;5.71
56;47.42355835;9.366794613782051;1.0;2.7;7.3980521946493285;2.79
57;47.41562085;9.364872754381835;10.0;;7.1472620645677;9.18
58;47.4250593;9.3765878;10.0;;9.942090774495458;9.98
59;47.4302636;9.380157282176716;10.0;;7.0680724154607795;9.16
60;47.431550650000005;9.39844843507538;1.0;;9.96249418047261;3.56
61;47.409219750000005;9.334267120204576;1.0;;7.916740022582294;2.98
62;47.4309701;9.3932254;10.0;;7.11193991246478;9.17
63;47.41807;9.3520116;10.0;;6.91645630049272;9.12
64;47.44390375;9.40906124763706;1.0;4.7;7.807795206285524;3.47
65;47.4207302;9.3650111;1.0;;6.819215180089913;2.66
66;47.4208688;9.3563871;10.0;;7.422229154007018;9.26
67;47.405364250000005;9.315715449999995;10.0;5.0;7.595992521371473;8.02
68;47.43857985;9.378692349999996;1.0;;7.818990367951237;2.95
69;47.4164868;9.3627857;1.0;;7.016399644528953;2.72
70;47.4073661;9.3278732;1.0;8.9;7.377533430061039;4.65
71;47.4165354;9.3462005;10.0;5.0;7.441366858725199;7.99
72;47.4302636;9.380157282176716;10.0;;7.0680724154607795;9.16
