,zimmer,Flaeche,baujahr,mietpreis,Latitude,Longitude
0,3.5,77,1996,1150,47.44936335,9.397538390190167
1,5.5,180,2002,2340,47.42489105,9.38561115
2,3.5,65,,1310,47.4067184,9.333691674080267
3,2.5,60,,840,47.43376685,9.399760959265903
4,3.0,,,900,47.4179107,9.366534001227787
5,4.0,,,1100,47.4300587,9.3931429
6,4.5,109,,1920,47.4124725,9.3556738
7,4.5,100,,1470,47.440055,9.3915095
8,3.0,68,1951,960,47.4298708,9.3922226
9,3.0,53,1920,1100,47.415744,9.3644813
10,3.0,,,920,47.4080989,9.3283532
11,6.5,133,,1940,47.40156455,9.300895450692156
12,2.0,44,,800,47.40767515,9.36900451277361
13,3.0,,,1230,47.4284449,9.3759596
14,6.5,143,,1940,47.40156455,9.300895450692156
15,4.0,,,890,47.4122835,9.349687311293387
16,3.0,,,890,47.4364436,9.4081548
17,4.0,,,1100,47.4246274,9.3815309
18,2.0,,,750,47.4316183,9.3952814
19,2.5,,,885,47.4318751,9.3962573
20,3.5,60,,1350,47.4335441,9.3719144
21,2.5,70,,1240,47.440055,9.3915095
22,3.5,60,,1350,47.4335441,9.3719144
23,2.5,,,1050,47.4347198,9.3856412
24,2.0,,,880,47.4299875,9.3928374
25,2.0,,,880,47.4300587,9.3931429
26,3.5,74,,1260,47.4249551,9.3786402
27,3.5,84,1981,1250,47.4375729,9.420471747319567
28,3.0,53,1962,940,47.4356427,9.4111555
29,4.0,,,1150,47.4350461,9.3891503
30,2.0,,,739,47.4402852,9.3928107
31,2.0,,,780,47.4317845,9.393302144927715
32,2.5,49,,1100,47.4249551,9.3786402
33,3.0,91,1896,1300,47.426897249999996,9.384001755476666
34,3.5,75,,1030,47.4250593,9.3765878
35,2.0,30,1939,600,47.43357265,9.382687450000006
36,4.0,,,1250,47.4193966,9.3638557
37,3.5,84,,1565,47.42633255,9.361973024803374
38,1.5,38,1933,1390,47.4255885,9.3753555
39,4.5,123,1980,1470,47.437231249999996,9.41577578475992
40,2.0,45,1930,1090,47.4074701,9.3323992
41,2.0,58,1956,880,47.42721965,9.384756771709387
42,2.0,60,,1100,47.4106838,9.3236124
43,1.0,12,,600,47.44241295,9.392566949999999
44,5.5,90,,1950,47.43847285,9.38890260610103
45,2.5,,,890,47.430527,9.3737262
46,3.0,56,,1140,47.41392515,9.363869597631028
47,5.5,164,,3100,47.4332311,9.382061400000001
48,2.5,,,1070,47.4321416,9.3947223
49,4.0,78,1959,1140,47.4132176,9.3631552
50,,76,,1150,47.4402717,9.3917662
51,3.5,95,2019,1950,47.4207836,9.3731019
52,5.5,,,1110,47.4317383,9.3941364
53,3.5,90,,1320,47.4179625,9.3517865
54,3.0,68,,940,47.4398936,9.39524
55,4.5,110,,1750,47.42633255,9.361973024803374
56,3.0,77,,1100,47.427346,9.384567048335125
57,4.5,,,1350,47.4183576,9.3662886
58,5.5,123,,1140,47.4057792,9.3166332
59,3.5,93,1995,1355,47.44278935,9.409023916841361
60,2.0,,,900,47.4321219,9.396944301950164
61,4.5,115,1986,1630,47.4018632,9.3350033
62,3.5,91,1986,1450,47.4016977,9.334488
63,2.0,,,600,47.43624915,9.392436753786885
64,5.0,230,,2500,47.4223514,9.36567416682258
65,4.5,87,,1750,47.431491,9.373259678075101
66,4.0,85,1907,1460,47.4299191,9.4000768
67,3.5,90,,1350,47.4309151,9.3928945
68,4.5,,1920,1040,47.436968750000005,9.404610232418621
69,3.5,70,,1100,47.416128799999996,9.361965853309243
70,4.0,87,,1300,47.416128799999996,9.361965853309243
71,3.5,70,,1140,47.43987625,9.395896249999996
72,3.0,61,,700,47.4158594,9.3653562
73,3.0,65,,970,47.4383998,9.389271390828945
74,4.0,90,,1100,47.4187357,9.352212558094738
75,3.0,80,,890,47.40767515,9.36900451277361
76,3.5,90,,1280,47.4250593,9.3765878
77,3.0,,,1160,47.411178050000004,9.340559508528608
78,4.0,,,1040,47.4304491,9.3802792
79,2.5,60,,1340,47.4227782,9.3747383
80,1.5,33,1930,790,47.4074701,9.3323992
81,2.5,,,850,47.4183768,9.3618727
82,4.0,78,1965,1120,47.432341050000005,9.403787196484114
83,3.5,64,,1110,47.4425112,9.3932722
84,3.5,100,,1900,47.4331689,9.404168138419479
85,4.0,124,1919,1340,47.4125755,9.3653597
86,3.5,62,,960,47.4375529,9.3880763
87,1.0,,,550,47.4243027,9.3801214
88,3.5,97,1920,1850,47.428027,9.377124
89,3.5,,1900,990,47.4394845,9.395932834394024
90,3.5,65,,1100,47.4250593,9.3765878
91,3.5,78,,1450,47.416343749999996,9.347315046811467
92,3.0,68,1951,960,47.4298708,9.3922226
93,3.5,74,,1050,47.4250593,9.3765878
94,3.0,50,,1190,47.4244641,9.3820684
95,3.5,83,1920,1707,47.4412078,9.378333770377468
96,3.5,77,1996,1420,47.42633255,9.361973024803374
97,3.0,,,1010,47.4163633,9.3625089
98,4.0,90,,1150,47.436953,9.3916204
99,,,,500,47.4402747,9.3938586
