id,zimmer,Flaeche,baujahr,mietpreis,Latitude,Longitude
0,2.0,64,,1200,47.4286726,9.376083
1,4.0,100,,1200,47.4208361,9.3640951
2,3.0,60,,1000,47.434336849999994,9.401496149999993
3,4.0,83,,1285,47.43322555,9.401850574874498
4,3.5,93,2014,1730,47.41429155,9.33399725
5,4.5,126,,2300,47.45024125,9.397184444225868
6,4.0,,,1050,47.4378765,9.3917628
7,3.5,115,,1690,47.40666105,9.337233777483302
8,4.5,,,1550,47.42006645,9.378586793290353
9,1.0,25,,670,47.423160949999996,9.38240318079152
10,2.0,50,1956,780,47.4076929,9.32975935
11,2.5,,,1100,47.4382354,9.3914617
12,3.5,,,1240,47.4382354,9.3914617
13,2.5,,,1050,47.4385371,9.3916545
14,1.0,25,,605,47.41544845,9.36534342532834
15,3.5,88,,1500,47.41305885,9.36215019349903
16,2.5,46,,1050,47.4254017,9.3673425
17,5.5,132,2009,2100,47.40809285,9.343135871010253
18,,,,2000,47.4250593,9.3765878
19,2.0,,,1150,47.4331331,9.3974374
20,1.5,33,1962,740,47.4192806,9.37303517214261
21,3.0,50,1970,1030,47.405364250000005,9.315715449999997
22,3.0,72,1934,1250,47.42494295,9.368572832813053
23,3.5,98,1986,1490,47.4019493,9.3352552
24,1.5,40,,870,47.4100732,9.339883820124085
25,2.5,77,2016,1440,47.41077845,9.338750116207034
26,1.0,77,2010,1250,47.4355197,9.4186716
27,2.5,,,940,47.42461015,9.383825768015402
28,3.5,68,,1150,47.42870485,9.390860799999999
29,4.5,100,,1650,47.4396747,9.402383974509803
30,2.5,40,,1040,47.432862650000004,9.398284247469434
31,4.5,,,1450,47.43410595,9.388582850000002
32,5.0,,,2550,47.4250593,9.3765878
33,4.0,,,1740,47.4403706,9.38442278114514
34,2.5,61,,1030,47.42226015,9.355177655414122
35,3.5,,,2480,47.4207315,9.371509973476805
36,4.5,100,,1400,47.4197214,9.378193752166379
37,3.5,,,1190,47.41493185,9.363652390086912
38,2.5,,,1000,47.4385371,9.3916545
39,4.0,85,,1150,47.421753249999995,9.361883290810717
40,4.5,90,,1550,47.425271,9.3829804
41,2.5,56,,1230,47.4346004,9.4021006
42,2.5,64,1920,1240,47.43441635,9.400965299561886
43,1.5,,,850,47.4103924,9.36730755
44,4.0,70,,890,47.4250593,9.3765878
45,3.5,84,,1175,47.4281943,9.3902431
46,4.0,100,1969,1390,47.4396747,9.402383974509803
47,4.0,80,,1550,47.415343449999995,9.364139338827552
48,1.0,32,,690,47.4281503,9.3901027
49,1.5,30,,790,47.4334796,9.398298409129149
50,4.5,95,,1535,47.4274307,9.3757633
51,2.5,40,,930,47.438579849999996,9.378692349999996
52,4.5,,,1990,47.42006645,9.378586793290353
53,4.5,106,,1540,47.40005315,9.298915723949738
54,4.0,90,1956,1240,47.417541299999996,9.348914755134818
55,1.0,26,,1070,47.4376945,9.4046617
56,3.5,,,1100,47.4317845,9.393302144927715
57,3.0,65,,1150,47.40458580000001,9.326890314460524
58,1.0,20,,840,47.4250593,9.3765878
59,4.0,83,1920,1320,47.43598705,9.378662440149292
60,3.5,90,2003,2150,47.415264199999996,9.3615719475475
61,4.0,80,,1290,47.4253242,9.382722
62,3.5,,,1120,47.4212044,9.3565867
63,4.5,120,,1440,47.437692299999995,9.378384741308405
64,3.5,95,1920,1185,47.42638945,9.385975599999998
65,4.5,100,,1880,47.425103,9.3701784
66,2.5,50,2012,1190,47.4180741,9.359882949999994
67,2.0,,,1200,47.4250593,9.3765878
68,2.5,50,2012,1190,47.4180741,9.359882949999994
69,4.0,,,880,47.4139487,9.3376417
70,5.0,100,,1730,47.4207468,9.3734814
71,3.5,68,,1350,47.4065016,9.3103955
72,1.0,15,,620,47.4268555,9.375442
73,5.5,122,,2200,47.4333985,9.373839
74,4.5,,,1411,47.4197822,9.354239699999997
75,1.0,30,,700,47.438111,9.3883824
76,3.5,93,,2150,47.4200324,9.3733019
77,5.0,80,1911,1000,47.407904099999996,9.332569450000001
78,2.5,,,1650,47.424940899999996,9.376682375919245
79,2.5,,,1550,47.424940899999996,9.376682375919245
80,2.5,,,1700,47.424940899999996,9.376682375919245
81,2.5,,,1550,47.424940899999996,9.376682375919245
82,2.5,,,1680,47.4250593,9.3765878
83,2.5,,,1650,47.4250593,9.3765878
84,2.5,,,1750,47.4250593,9.3765878
85,4.0,,,2700,47.4250593,9.3765878
86,2.5,62,2022,1780,47.42300815,9.364755919424915
87,4.5,114,2012,1970,47.4227514,9.35917285
88,3.5,80,,1500,47.434759150000005,9.377783176189563
89,3.5,,,1740,47.42430125,9.383151220636792
90,4.5,103,2017,1750,47.4037987,9.316365
91,3.5,,,1250,47.431907949999996,9.404712488706398
92,4.5,123,,2000,47.4210577,9.3716531
93,2.5,77,,1650,47.4380545,9.4034954
94,1.5,24,,830,47.4380545,9.4034954
95,2.5,47,,1180,47.4380545,9.4034954
96,2.5,82,,1800,47.4380545,9.4034954
97,2.5,35,,1000,47.4380545,9.4034954
98,3.0,73,,1250,47.4273448,9.384273499687204
99,1.0,,1984,530,47.432144199999996,9.393132565231024
