,zimmer,Flaeche,baujahr,mietpreis,Latitude,Longitude
0,1.5,,,900,47.42683165,9.377498787580443
1,3.5,,,1300,47.4361738,9.4060493
2,4.5,90,,1200,47.4174655,9.3521377
3,4.0,93,1993,1420,47.4022619,9.3375108
4,2.5,85,,1050,47.4247879,9.36730015
5,4.0,,,1190,47.4289654,9.3928703
6,3.0,68,,950,47.4398936,9.39524
7,4.0,,,1490,47.402640700000006,9.32537744768145
8,3.5,,,1500,47.440449150000006,9.39511926675666
9,,13,,523,47.418418200000005,9.35725255863732
10,5.0,140,,2600,47.424736,9.3755166
11,4.5,110,1976,1875,47.44115,9.391362148299741
12,3.0,72,,1045,47.44058215,9.394224427409785
13,2.5,,,750,47.4354742,9.372087350000001
14,3.5,,,1240,47.41248335,9.352420169589006
15,4.0,86,1920,1230,47.4175746,9.3813462
16,4.0,78,1920,1040,47.41955925,9.3514868
17,4.5,115,2008,1740,47.4105875,9.368821507247258
18,3.5,76,,1180,47.4365415,9.378895
19,3.5,76,,1190,47.4365415,9.378895
20,1.0,,,540,47.0430286,9.4435159
21,5.5,135,1905,1950,47.4348772,9.37808855
22,3.0,,,1090,47.4365145,9.3861497
23,4.5,65,,980,47.434635549999996,9.396201842472788
24,3.0,69,1956,1090,47.42721965,9.384756771709387
25,3.0,53,1930,1210,47.4074892,9.3325655
26,4.5,80,,1490,47.4295971,9.4020252
27,1.0,14,,590,47.4183465,9.36236305
28,4.0,,,1150,47.4226785,9.3662472038361
29,2.0,,,1150,47.4364863,9.3932656
30,3.0,70,1960,1200,47.4340684,9.3987691
31,4.5,110,1863,1790,47.425933900000004,9.384537502304031
32,1.0,18,,390,47.4074524,9.325017463720707
33,1.5,33,,840,47.42698685,9.383898694107646
34,3.5,83,1920,1620,47.42345335,9.381203451519035
35,5.0,140,,2610,47.42707605,9.371104860563381
36,2.0,29,,1090,47.230288599999994,8.826837712757541
37,1.5,48,1920,490,47.4286099,9.38985
38,3.5,83,,1310,47.4173398,9.34916859285099
39,1.0,32,,510,47.417445400000005,9.348389557816002
40,3.5,115,1920,1865,47.42086045,9.371059682258064
41,3.5,76,,1390,47.41542715,9.364409656982419
42,3.5,84,1981,1270,47.4375729,9.420471747319567
43,3.5,92,2012,1530,47.4073661,9.3278732
44,3.0,64,1920,1280,47.439425,9.395117205100615
45,3.5,,,1300,47.436641300000005,9.392538073956114
46,3.0,,,1010,47.437589,9.3781632
47,3.5,81,,1150,47.414821200000006,9.36568063747557
48,2.5,62,,1230,47.4250593,9.3765878
49,2.5,62,,1130,47.4250593,9.3765878
50,3.0,,,1070,47.4175882,9.365717150000004
51,2.0,41,,940,47.4393859,9.3945294
52,3.5,61,,1360,47.4393859,9.3945294
53,3.5,77,1996,1160,47.44936335,9.397538390190167
54,2.5,,,1080,47.42680825,9.3908597
55,3.5,65,,1190,47.4194461,9.351888248804356
56,1.5,40,1921,950,47.42355835,9.366794613782051
57,5.0,80,,1200,47.415620849999996,9.364872754381835
58,4.0,78,,1150,47.4250593,9.3765878
59,3.0,,,1050,47.4302636,9.380157282176715
60,2.5,65,,1310,47.431550650000005,9.398448435075379
61,1.5,30,,750,47.409219750000005,9.334267120204576
62,3.5,62,,1080,47.4309701,9.3932254
63,2.5,50,,960,47.41807,9.3520116
64,2.5,64,1967,1050,47.44390375,9.409061247637059
65,4.5,80,,1400,47.4207302,9.3650111
66,4.0,,,1010,47.4208688,9.3563871
67,3.0,50,1970,1030,47.405364250000005,9.315715449999997
68,4.5,92,,1440,47.438579849999996,9.378692349999996
69,3.5,68,,1240,47.4164868,9.3627857
70,3.5,92,2012,1510,47.4073661,9.3278732
71,4.0,71,1970,1100,47.4165354,9.3462005
72,3.0,,,1000,47.4302636,9.380157282176715
73,3.5,79,1986,1380,47.4016977,9.334488
74,4.5,99,,1780,47.412487,9.3548691
75,4.5,99,,1520,47.412487,9.3548691
76,1.5,30,,790,47.423160949999996,9.38240318079152
77,4.5,70,,1050,47.416667649999994,9.356860152004508
78,4.5,155,1989,3490,47.4299892,9.390765
79,3.5,100,2002,1310,47.42515545,9.38543285
80,3.5,60,,1350,47.4168503,9.3572653
81,4.5,130,1972,1340,47.4178076,9.345679
82,3.5,84,1976,1350,47.4476693,9.3975616
83,8.5,238,2010,5200,47.443311449999996,9.377601552617161
84,3.5,,2018,2410,47.41511775,9.392501341189426
85,2.5,49,,1170,47.4105464,9.3652829
86,3.0,68,1972,1210,47.4157388,9.38144174388805
87,4.5,92,,1480,47.4286034,9.374814912710166
88,3.5,99,,1770,47.4135854,9.3329064
89,3.5,58,,1390,47.4330506,9.3808569
90,3.5,,,1150,47.4315431,9.3971746
91,4.0,81,,1108,47.436675199999996,9.4096441
92,2.0,,,880,47.4247364,9.382284220209344
93,3.5,98,,1640,47.4149142,9.3649828
94,2.0,,,760,47.43376685,9.399760959265903
95,1.0,,,970,47.4244641,9.3820684
96,2.0,25,,980,47.4244641,9.3820684
97,3.0,81,,1300,47.4244641,9.3820684
98,3.5,76,,1310,47.44960695,9.397567404681944
99,4.5,115,,1100,47.4270182,9.389490046516794
