id,zimmer,Flaeche,baujahr,mietpreis,Latitude,Longitude
0,2.0,45,,880,47.4332152,9.394987185249308
1,2.0,45,,890,47.4332152,9.394987185249308
2,3.5,130,1991,1600,47.4174313,9.381075
3,2.5,,,960,47.4135527,9.364173
4,3.5,66,,1000,47.43497325,9.39622240778245
5,4.5,,,1200,47.4193257,9.351620253033094
6,4.0,80,,1290,47.4153063,9.3829234
7,3.0,87,,1150,47.43298425,9.393817529542861
8,1.0,100,2021,,47.4203953,9.3729493
9,7.5,,1904,2150,47.4174601,9.3603792
10,2.5,60,,1000,47.4689597,9.1077693
11,4.0,90,,1700,47.4264073,9.383295787810138
12,3.5,80,,1290,47.4379987,9.3918363
13,3.5,87,,1245,47.4425556,9.408564334606943
14,2.0,25,,660,47.4326619,9.3972652
15,3.5,101,1995,1405,47.4423077,9.409775834716104
16,3.5,62,,960,47.4373988,9.3879169
17,4.5,110,,1300,47.4281159,9.36425
18,3.5,68,1976,1200,47.4480582,9.3975672
19,3.5,,,1160,47.4400637,9.37386235
20,1.0,70,,1100,47.4343348,9.3844026
21,3.5,88,2011,1440,47.4407209,9.4119244
22,3.5,73,2009,1215,47.4362243,9.420004455700361
23,2.5,,,930,47.41874195,9.370259450000002
24,3.5,65,,780,47.443641,9.39522035157345
25,2.0,49,1962,930,47.4119893,9.351609161712677
26,3.0,68,1960,1070,47.436118500000006,9.4105755
27,2.5,46,1960,890,47.435941,9.4101311
28,4.0,82,1920,1150,47.4197942,9.3526212
29,1.0,23,1960,440,47.4363491,9.4104568
30,2.5,54,,1240,47.4175522,9.3589454
31,2.5,,1919,860,47.4292214,9.3917496
32,4.5,109,2012,1770,47.40852995,9.332807199999998
33,1.5,46,,820,47.4118882,9.342925790587355
34,4.0,,,1500,47.4239388,9.3749572
35,3.5,88,2020,1530,47.407574,9.3407163
36,2.5,55,1920,850,47.4173759,9.3575734
37,2.5,55,1920,850,47.4173759,9.3575734
38,3.5,80,,1390,47.39986655,9.29819031294609
39,3.5,,,1300,47.4307531,9.3985367
40,1.5,25,,715,47.42804700000001,9.376841492485784
41,3.5,83,1979,1250,47.4151379,9.3968099
42,3.5,133,2009,1870,47.4199967,9.352511452236847
43,3.5,76,2017,1845,47.41128665,9.362471729065351
44,3.5,98,,1750,47.4130237,9.3327675
45,2.0,34,,830,47.4265704,9.374762899999999
46,2.5,79,,1080,47.4159382,9.35518729362416
47,4.0,80,,940,47.420972,9.3536989
48,3.5,95,,1500,47.4149142,9.3649828
49,1.0,24,1956,575,47.42721965,9.384756771709387
50,4.5,81,1971,1280,47.4294577,9.3778759
51,3.0,80,,890,47.40767515,9.36900451277361
52,2.5,80,2006,1430,47.408394799999996,9.344605160135139
53,4.5,85,1920,1230,47.43670899999999,9.387012073630412
54,2.5,76,,1665,47.422085,9.3737548
55,1.0,28,2021,730,47.44044305,9.394414730518168
56,4.5,114,2003,1780,47.404676949999995,9.336652763751472
57,4.0,70,1919,790,47.43602035,9.38802205
58,4.5,120,1920,1260,47.420559,9.3643155
59,4.5,,,1030,47.4319658,9.3965621
60,4.0,83,,1160,47.4164172,9.3568565
61,1.5,32,2022,890,47.414316,9.3451157
62,1.5,,,1075,47.424065999999996,9.366456157530841
63,3.5,,,1210,47.4257163,9.3848239
64,4.5,152,1995,2190,47.4265813,9.3764407
65,1.5,,,520,47.4300383,9.3918085
66,1.0,20,,530,47.4248898,9.3835976
67,2.5,60,1992,1350,47.436224100000004,9.401221661818184
68,2.0,,,1070,47.4276439,9.3636994
69,3.5,80,1918,1400,47.4200722,9.3640779
70,5.0,,,1790,47.430229350000005,9.377382350000005
71,2.0,42,,875,47.4193462,9.3634905
72,5.5,,,1331,47.4365087,9.4073864
73,2.5,65,1910,1200,47.4257575,9.3775254
74,2.0,45,,775,47.4275693,9.37507615958993
75,1.5,,,650,47.42495605,9.376839889050096
76,5.0,89,,1068,47.436675199999996,9.4096441
77,2.5,54,,1170,47.4343348,9.3844026
78,3.5,120,,1400,47.4192433,9.3800353
79,4.5,95,,1620,47.416401,9.3781262
80,2.0,43,,885,47.4074701,9.3323992
81,3.5,89,,1610,47.403215200000005,9.32463844863749
82,2.5,55,,1230,47.40348315,9.3249269406639
83,1.5,42,,1055,47.403215200000005,9.32463844863749
84,3.5,93,,1820,47.42698685,9.383898694107646
85,1.0,,,715,47.4188513,9.3536615
86,4.5,99,1950,1430,47.426465949999994,9.38447680871627
87,5.5,118,,2010,47.41970465,9.363515305950202
88,2.0,33,,1060,47.443191150000004,9.395131267245993
89,3.5,88,2007,1465,47.42904505,9.39086515255581
90,3.0,73,,1240,47.4426221,9.3934258
91,3.5,65,,1100,47.4258516,9.362108474339816
92,2.5,36,,1090,47.4334796,9.398298409129149
93,3.5,85,,2150,47.4178168,9.360211722537112
94,4.0,82,,960,47.414792,9.363267860822734
95,4.0,82,,1000,47.414792,9.363267860822734
96,1.0,,,500,47.430115799999996,9.397982149999994
97,3.5,62,2019,1940,47.4185438,9.3660627
98,2.5,42,,1395,47.4185438,9.3660627
99,1.5,24,,1195,47.4185438,9.3660627
